micros,counts,seconds,volts,amps
2,0,2e-06,0.0,0.0
1200,-1,0.0012,-6.25e-05,-0.00625
2401,-1,0.002401,-6.25e-05,-0.00625
3600,-1,0.0036,-6.25e-05,-0.00625
4800,0,0.0048,0.0,0.0
6000,1,0.006,6.25e-05,0.00625
7200,0,0.0072,0.0,0.0
8400,-1,0.0084,-6.25e-05,-0.00625
9600,1,0.0096,6.25e-05,0.00625
10800,0,0.0108,0.0,0.0
12000,1,0.012,6.25e-05,0.00625
13200,0,0.0132,0.0,0.0
14401,0,0.014401,0.0,0.0
15600,-2,0.0156,-0.000125,-0.0125
16800,1,0.0168,6.25e-05,0.00625
18000,0,0.018,0.0,0.0
19200,1,0.0192,6.25e-05,0.00625
20401,-1,0.020401,-6.25e-05,-0.00625
21600,0,0.0216,0.0,0.0
22800,-1,0.0228,-6.25e-05,-0.00625
24000,1,0.024,6.25e-05,0.00625
25200,1,0.0252,6.25e-05,0.00625
26401,0,0.026401,0.0,0.0
27600,0,0.0276,0.0,0.0
28800,0,0.0288,0.0,0.0
30000,0,0.03,0.0,0.0
31200,0,0.0312,0.0,0.0
32401,0,0.032401,0.0,0.0
33600,-1,0.0336,-6.25e-05,-0.00625
34800,1,0.0348,6.25e-05,0.00625
36000,0,0.036,0.0,0.0
37200,-1,0.0372,-6.25e-05,-0.00625
38401,-1,0.038401,-6.25e-05,-0.00625
39600,0,0.0396,0.0,0.0
40800,0,0.0408,0.0,0.0
42000,0,0.042,0.0,0.0
43200,0,0.0432,0.0,0.0
44400,-1,0.0444,-6.25e-05,-0.00625
45600,0,0.0456,0.0,0.0
46800,0,0.0468,0.0,0.0
48000,0,0.048,0.0,0.0
49200,-1,0.0492,-6.25e-05,-0.00625
50401,0,0.050401,0.0,0.0
51600,0,0.0516,0.0,0.0
52800,1,0.0528,6.25e-05,0.00625
54000,0,0.054,0.0,0.0
55200,-1,0.0552,-6.25e-05,-0.00625
56401,0,0.056401,0.0,0.0
57600,-1,0.0576,-6.25e-05,-0.00625
58800,-1,0.0588,-6.25e-05,-0.00625
60000,0,0.06,0.0,0.0
61200,-1,0.0612,-6.25e-05,-0.00625
62401,0,0.062401,0.0,0.0
63600,-1,0.0636,-6.25e-05,-0.00625
64800,1,0.0648,6.25e-05,0.00625
66000,0,0.066,0.0,0.0
67200,0,0.0672,0.0,0.0
68401,0,0.068401,0.0,0.0
69600,-1,0.0696,-6.25e-05,-0.00625
70800,0,0.0708,0.0,0.0
72000,-1,0.072,-6.25e-05,-0.00625
73200,0,0.0732,0.0,0.0
74401,0,0.074401,0.0,0.0
75600,-1,0.0756,-6.25e-05,-0.00625
76800,-1,0.0768,-6.25e-05,-0.00625
78000,-1,0.078,-6.25e-05,-0.00625
79200,0,0.0792,0.0,0.0
80401,0,0.080401,0.0,0.0
81600,0,0.0816,0.0,0.0
82800,0,0.0828,0.0,0.0
84000,-1,0.084,-6.25e-05,-0.00625
85200,0,0.0852,0.0,0.0
86401,0,0.086401,0.0,0.0
87600,-1,0.0876,-6.25e-05,-0.00625
88800,0,0.0888,0.0,0.0
90000,0,0.09,0.0,0.0
91200,1,0.0912,6.25e-05,0.00625
92401,0,0.092401,0.0,0.0
93600,-1,0.0936,-6.25e-05,-0.00625
94800,-1,0.0948,-6.25e-05,-0.00625
96000,0,0.096,0.0,0.0
97200,0,0.0972,0.0,0.0
98401,0,0.098401,0.0,0.0
99600,0,0.0996,0.0,0.0
100800,0,0.1008,0.0,0.0
102000,0,0.102,0.0,0.0
103200,0,0.1032,0.0,0.0
104401,0,0.104401,0.0,0.0
105600,-1,0.1056,-6.25e-05,-0.00625
106800,-1,0.1068,-6.25e-05,-0.00625
108000,1,0.108,6.25e-05,0.00625
109200,0,0.1092,0.0,0.0
110401,0,0.110401,0.0,0.0
111600,1,0.1116,6.25e-05,0.00625
112800,0,0.1128,0.0,0.0
114000,0,0.114,0.0,0.0
115200,-1,0.1152,-6.25e-05,-0.00625
116401,0,0.116401,0.0,0.0
117600,-1,0.1176,-6.25e-05,-0.00625
118800,-1,0.1188,-6.25e-05,-0.00625
120000,0,0.12,0.0,0.0
121200,0,0.1212,0.0,0.0
122401,0,0.122401,0.0,0.0
123600,0,0.1236,0.0,0.0
124800,-1,0.1248,-6.25e-05,-0.00625
126000,0,0.126,0.0,0.0
127200,-1,0.1272,-6.25e-05,-0.00625
128401,0,0.128401,0.0,0.0
129600,0,0.1296,0.0,0.0
130800,1,0.1308,6.25e-05,0.00625
132000,1,0.132,6.25e-05,0.00625
133200,0,0.1332,0.0,0.0
134401,0,0.134401,0.0,0.0
135600,0,0.1356,0.0,0.0
136800,-1,0.1368,-6.25e-05,-0.00625
138000,0,0.138,0.0,0.0
139200,-1,0.1392,-6.25e-05,-0.00625
140401,0,0.140401,0.0,0.0
141600,0,0.1416,0.0,0.0
142800,0,0.1428,0.0,0.0
144000,0,0.144,0.0,0.0
145200,-1,0.1452,-6.25e-05,-0.00625
146401,0,0.146401,0.0,0.0
147600,0,0.1476,0.0,0.0
148800,0,0.1488,0.0,0.0
