micros,counts,seconds,volts,amps
140400,-930,0.1404,-0.058125,-5.8125
141600,-1123,0.1416,-0.0701875,-7.01875
142801,-1147,0.142801,-0.0716875,-7.16875
144000,-1068,0.144,-0.06675,-6.675000000000001
145200,-789,0.1452,-0.0493125,-4.93125
146400,-389,0.1464,-0.0243125,-2.43125
147600,20,0.1476,0.00125,0.125
148800,465,0.1488,0.0290625,2.90625
150000,806,0.15,0.050375,5.0375000000000005
151201,1065,0.151201,0.0665625,6.65625
152400,1147,0.1524,0.0716875,7.16875
153600,1124,0.1536,0.07025,7.025
154800,930,0.1548,0.058125,5.8125
156000,565,0.156,0.035312500000000004,3.5312500000000004
157201,154,0.157201,0.009625,0.9625
158400,-285,0.1584,-0.017812500000000002,-1.7812500000000002
159600,-678,0.1596,-0.042375,-4.237500000000001
160800,-972,0.1608,-0.06075,-6.075
162000,-1136,0.162,-0.07100000000000001,-7.1000000000000005
163201,-1145,0.163201,-0.0715625,-7.15625
164400,-1038,0.1644,-0.064875,-6.4875
165600,-730,0.1656,-0.045625,-4.5625
166800,-326,0.1668,-0.020375,-2.0375
168000,91,0.168,0.0056875,0.56875
169201,530,0.169201,0.033125,3.3125
170400,854,0.1704,0.053375,5.3374999999999995
171600,1092,0.1716,0.06825,6.825
172800,1148,0.1728,0.07175000000000001,7.175000000000001
174000,1107,0.174,0.0691875,6.91875
175201,880,0.175201,0.055,5.5
176400,500,0.1764,0.03125,3.125
177600,88,0.1776,0.0055,0.5499999999999999
178800,-354,0.1788,-0.022125,-2.2125
180000,-732,0.18,-0.04575,-4.575
181200,-1010,0.1812,-0.063125,-6.3125
182400,-1142,0.1824,-0.07137500000000001,-7.137500000000001
183600,-1001,0.1836,-0.06256250000000001,-6.2562500000000005
184800,-668,0.1848,-0.04175,-4.175
186000,-262,0.186,-0.016375,-1.6375000000000002
187201,165,0.187201,0.0103125,1.03125
188400,589,0.1884,0.0368125,3.68125
189600,898,0.1896,0.056125,5.6125
190800,1114,0.1908,0.069625,6.9625
192000,1146,0.192,0.07162500000000001,7.1625000000000005
193201,1086,0.193201,0.067875,6.7875000000000005
194400,826,0.1944,0.051625000000000004,5.1625000000000005
195601,433,0.195601,0.0270625,2.70625
196800,24,0.1968,0.0015,0.15
198000,-423,0.198,-0.0264375,-2.64375
199201,-778,0.199201,-0.048625,-4.8625
200400,-1047,0.2004,-0.0654375,-6.543749999999999
201600,-1148,0.2016,-0.07175000000000001,-7.175000000000001
202800,-1133,0.2028,-0.0708125,-7.08125
204000,-959,0.204,-0.059937500000000005,-5.99375
205201,-605,0.205201,-0.0378125,-3.78125
206400,-196,0.2064,-0.01225,-1.225
207600,237,0.2076,0.014812500000000001,1.4812500000000002
208800,643,0.2088,0.0401875,4.01875
210000,943,0.21,0.058937500000000004,5.893750000000001
211200,1128,0.2112,0.07050000000000001,7.050000000000001
212400,1145,0.2124,0.0715625,7.15625
213600,1057,0.2136,0.0660625,6.606249999999999
214800,768,0.2148,0.048,4.8
216000,367,0.216,0.0229375,2.29375
217200,-43,0.2172,-0.0026875000000000002,-0.26875000000000004
218400,-486,0.2184,-0.030375,-3.0375
219600,-824,0.2196,-0.051500000000000004,-5.15
220800,-1076,0.2208,-0.06725,-6.7250000000000005
222000,-1149,0.222,-0.0718125,-7.18125
223201,-1120,0.223201,-0.07,-7.000000000000001
224400,-912,0.2244,-0.057,-5.7
225600,-542,0.2256,-0.033875,-3.3875
226800,-131,0.2268,-0.0081875,-0.8187500000000001
228000,310,0.228,0.019375,1.9375
229201,697,0.229201,0.043562500000000004,4.35625
230400,985,0.2304,0.0615625,6.15625
231600,1139,0.2316,0.0711875,7.11875
232800,1142,0.2328,0.07137500000000001,7.137500000000001
234000,1025,0.234,0.0640625,6.406249999999999
235201,707,0.235201,0.0441875,4.41875
236400,304,0.2364,0.019,1.9
237600,-116,0.2376,-0.00725,-0.7250000000000001
238800,-550,0.2388,-0.034375,-3.4375000000000004
240000,-872,0.24,-0.0545,-5.45
241201,-1101,0.241201,-0.0688125,-6.88125
242400,-1149,0.2424,-0.0718125,-7.18125
243600,-1102,0.2436,-0.068875,-6.8875
244800,-861,0.2448,-0.0538125,-5.38125
246000,-476,0.246,-0.029750000000000002,-2.975
247200,-64,0.2472,-0.004,-0.4
248400,379,0.2484,0.0236875,2.36875
249600,748,0.2496,0.04675,4.675
